ID,Select Species,Points Value,Traffic Lights Colour,Skin,Cost
1,Temp Rosy Barb,3,Amber,Sphere,1
2,Tropical Rosy Barb,3,Amber,Sphere,1
3,Amano Shrimp,1,Green,Sphere,1
4,Freshwater Shrimp,0,Green,Sphere,1
5,White Minnow,1,Green,Sphere,1
6,Gold Minnow,1,Green,Sphere,1
7,Assorted Danio,1,Green,Sphere,1
8,Red Spotted Snail,0,Green,Sphere,1
9,Red Lips Snail,0,Green,Sphere,1
10,Spiral Horn Snail,0,Green,Sphere,1
11,Sucking Loach,4,Amber,Sphere,1
12,Temp Sucking Loach,4,Amber,Sphere,1
13,Variatus Platy,2,Green,Sphere,1
14,Black Corydoras,4,Green,Sphere,1
